Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
1246024-02-201,1111750,Lions Den Ventures Llc,Lions Den Bar And Lounge,57 Wentworth Pl,San Francisco,CA,94108,4/3/2018,4/3/2018,1/1/2020,4/3/2018,,,,,,,FALSE,FALSE,,,3,Chinatown,,POINT (-122.40618 37.795685),1246024-02-201-1111750--01-01-2020,104,6,3,6,104
1138979-03-171,1066754,Woo May Ngor & Lee Agnes & Kwan Suzana,Baht Wor Chinese Opera Association Of San Francisco,729 Sacramento St A,San Francisco,CA,94108,3/7/2017,6/30/2020,3/7/2017,6/30/2020,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,3,Chinatown,,POINT (-122.40509 37.79348),1138979-03-171-1066754-7100-7199-03-07-2017,104,6,3,6,104
1212782-02-191,168329,Bon Appetit Management Co,Bon Appetit @ Twitter,1355 Market St 8th Fl,San Francisco,CA,94103,7/1/1987,,10/30/2018,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,7220-7229,Food Services,FALSE,FALSE,H85,Employee Cafeterias W/o Food Prep,6,South of Market,,POINT (-122.416885 37.77692),1212782-02-191-0168329-7220-7229-10-30-2018,32,5,10,34,32
1237001-10-191,168329,Bon Appetit Management Co,Plaza Cart #1 Beverage,1 Warriors Way Plaza Lvl South East,San Francisco,CA,94158,7/1/1987,,10/21/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,7220-7229,Food Services,FALSE,FALSE,H36,Stadium Concession,6,Mission Bay,,POINT (-122.386406 37.768967),1237001-10-191-0168329-7220-7229-10-21-2019,34,1,10,4,34
1146854-05-171,1059179,Elena Sazonova,Alena Sazonova,4101 Anza St,San Francisco,CA,94121,9/26/2016,1/1/2020,9/26/2016,1/1/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,1,Outer Richmond,,POINT (-122.4922 37.77779),1146854-05-171-1059179-5400-5499-09-26-2016,8,8,4,29,8
1200193-09-181,168329,Bon Appetit Management Co,"Bon Appetit @ Airbnb 999 Brannan Haveli, 3rd Fl",999 Brannan St 3rd,San Francisco,CA,94103,7/1/1987,,8/29/2018,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,7220-7229,Food Services,FALSE,FALSE,H85,Employee Cafeterias W/o Food Prep,6,South of Market,,POINT (-122.4069 37.770096),1200193-09-181-0168329-7220-7229-08-29-2018,33,1,10,34,33
1010073-10-141,168329,Bon Appetit Management Co,Bon Appetit @ Twitter,1355 Market St 10,San Francisco,CA,94103,7/1/1987,,6/24/2014,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,7220-7229,Food Services,FALSE,FALSE,H84,Employee Cafeterias W/food Prep,6,South of Market,,POINT (-122.416885 37.77692),1010073-10-141-0168329-7220-7229-06-24-2014,32,5,10,34,32
1129946-12-161,491024,Glow Event Design Llc,Glow Event Design Llc,3547 Sacramento St,San Francisco,CA,94118,5/1/2014,12/31/2020,12/12/2016,12/6/2017,,,,,8100-8139,Certain Services,FALSE,FALSE,,,2,Presidio Heights,,POINT (-122.45107 37.78764),1129946-12-161-0491024-8100-8139-12-12-2016,10,8,6,31,10
1022351-03-151,1010801,Torras Ferran,Wall And Wall,755 Clayton St,San Francisco,CA,94117,3/10/2015,1/1/2021,3/10/2015,4/16/2017,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,5,Haight Ashbury,,POINT (-122.44822 37.767845),1022351-03-151-1010801-7100-7199-03-10-2015,29,7,11,3,29
1017077-01-151,1008184,Ba Electric Inc,Bay Area Electric,8525 Liman Way,Rohnert+park,CA,94928,1/27/2015,6/30/2019,1/27/2015,6/30/2019,,,,,,,FALSE,FALSE,,,,,,POINT (-122.6915 38.323853),1017077-01-151-1008184--01-27-2015,,,,,
0312899-01-001,312899,Lee Angela K,A Return To Health,870 Market St Ste 309,San Francisco,CA,94102,1/20/1998,,2/1/2001,6/30/2020,2000 Van Ness Ave Ste 706,San Francisco,94109,CA,6100-6299,Private Education and Health Services,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40703 37.7849),0312899-01-001-0312899-6100-6299-02-01-2001,19,5,3,8,19
1200934-09-181,1092853,Mitchell Kell,Mitch Kell Photography,2399 12th Ave Unit 1,San Francisco,CA,94116,7/2/2018,12/29/2020,7/2/2018,12/29/2020,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,7,West of Twin Peaks,,POINT (-122.46812 37.743473),1200934-09-181-1092853-7100-7199-07-02-2018,44,10,8,41,44
0001793-02-001,1793,120 Second Street Corporation,120 Second Street Corporation,120 2nd St,San+francisco,CA,94105,10/1/1968,,9/1/1996,,4412 Kastania Rd,Petaluma,94952,CA,,,FALSE,FALSE,,,6,Financial District/South Beach,,POINT (-122.399574 37.787518),0001793-02-001-0001793--09-01-1996,32,1,10,8,32
1267289-01-211,1120419,Kelly Plumbing,Kelly Plumbing,251 Harrison Ave,Campbell,CA,95011,1/1/2021,,1/1/2021,,5373 Ayrshire Drive,San Jose,95118,CA,2300-2399,Construction,FALSE,FALSE,,,,,,POINT (-121.94305 37.29072),1267289-01-211-1120419-2300-2399-01-01-2021,,,,,
0034772-10-001,34772,Levinson Family Revoc Trust,135 Capp St Apts,135 Capp St,San Francisco,CA,94110,10/1/1968,12/31/2020,7/1/2009,12/31/2020,,,,,5600-5699,Administrative and Support Services,FALSE,FALSE,,,9,Mission,,POINT (-122.41861 37.76452),0034772-10-001-0034772-5600-5699-07-01-2009,53,3,2,20,53
0034780-01-001,34780,Guerrero Alfonso,1690-1698 Grove Apts,1690 Grove St,San Francisco,CA,94117,10/1/1968,6/30/2021,10/1/1968,6/30/2021,***Administratively Closed,,,,,,FALSE,FALSE,,,5,Lone Mountain/USF,,POINT (-122.44437 37.775143),0034780-01-001-0034780--10-01-1968,24,7,11,18,24
0034829-01-001,34829,Castelloti Lena,1661 Leavenworth Apts,1661 Leavenworth St,San Francisco,CA,94109,10/1/1968,3/31/2021,4/3/2000,3/31/2021,,,,,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,3,Russian Hill,,POINT (-122.41682 37.796318),0034829-01-001-0034829-5300-5399-04-03-2000,16,6,3,32,16
1077419-06-161,186987,Villegas Andres G,White Building Maintenance,72 Arbor St,San Francisco,CA,94131,4/14/1989,,4/30/2016,,Po Box 31031,San Francisco,94131,CA,8100-8139,Certain Services,FALSE,FALSE,,,8,Glen Park,,POINT (-122.43588 37.737705),1077419-06-161-0186987-8100-8139-04-30-2016,96,9,5,10,96
0939534-01-001,939534,Dubbelju Motorcycle Rental Llc,Dubbelju Motorcycle Rental Llc,689 A Bryant St,San Francisco,CA,94107,1/4/1995,12/22/2020,1/1/2006,4/1/2016,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,6,South of Market,,POINT (-122.40002 37.77798),0939534-01-001-0939534-7100-7199-01-01-2006,32,1,10,34,32
1070644-05-161,475221,Genji Pacific Llc,Genji,1765 California St,San Francisco,CA,94109,1/2/2013,,5/17/2016,,6390 Hedgewood Dr Ste 300,Allentown,18106,PA,7220-7229,Food Services,FALSE,FALSE,H24 Wm18 Wmloc,Multiple,2,Western Addition,,POINT (-122.42336 37.79021),1070644-05-161-0475221-7220-7229-05-17-2016,102,4,6,39,102
0355981-01-001,355981,Good Antonio,Good Construction,1219 Bacon St,San Francisco,CA,94134,6/1/2002,5/26/2021,6/20/2007,5/26/2021,,,,,2300-2399,Construction,FALSE,FALSE,,,9,Portola,,POINT (-122.414925 37.72464),0355981-01-001-0355981-2300-2399-06-20-2007,92,2,2,25,92
0460750-02-001,460750,Lake Paul-Ryan E,Paul-Ryan Lake Dds,260 Stockton St Fl 4,San Francisco,CA,94108,7/1/2011,12/31/2018,9/5/2012,12/31/2018,,,,,6100-6299,Private Education and Health Services,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.406685 37.788242),0460750-02-001-0460750-6100-6299-09-05-2012,19,6,3,8,19
1296206-01-221,403925,Grace Cathedral Corporation,Cathedral School For Boys,1275 Sacramento St,San Francisco,CA,94108,1/1/2007,,1/1/2007,,1100 California St,San Francisco,94108,CA,,,FALSE,FALSE,,,3,Nob Hill,,POINT (-122.413826 37.792374),1296206-01-221-0403925--01-01-2007,16,6,3,21,16
0441034-02-999,441034,Thomas Quinn And Krieger Llp,Thomas Quinn & Krieger Llp,444 W Ocean Blvd 800,Long+beach,CA,90802,8/1/2009,,1/1/2014,1/26/2017,219 9th St 2nd Fl.,San Francisco,94103,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,,,,POINT (-118.19768 33.766705),0441034-02-999-0441034-5400-5499-01-01-2014,,,,,
1251789-05-201,1114133,The Brighthouse Llc,The Brighthouse Llc,855 Brannan St 673,San Francisco,CA,94103,4/26/2019,6/30/2020,4/26/2019,6/30/2020,,,,,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,6,South of Market,,POINT (-122.404465 37.77202),1251789-05-201-1114133-5300-5399-04-26-2019,33,1,10,34,33
0034833-01-001,34833,Jew Yong L,1664 Washington Apts,1664 Washington St,San Francisco,CA,94109,10/1/1968,1/1/2017,10/1/1968,1/1/2017,,,,,,,FALSE,FALSE,,,3,Russian Hill,,POINT (-122.42063 37.79336),0034833-01-001-0034833--10-01-1968,105,4,3,32,105
0034861-01-001,34861,Lee Dorothy J,1674 Washington Apts,1674 Washington St,San Francisco,CA,94109,10/1/1968,7/15/2021,10/1/1968,7/15/2021,,,,,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,3,Russian Hill,,POINT (-122.42078 37.793343),0034861-01-001-0034861-5300-5399-10-01-1968,105,4,3,32,105
1260751-09-201,1117752,Ramya Krishna,The Learning Circle,111 Wallace Circle Cir,Moraga,CA,94556,10/12/2020,1/1/2021,7/1/2020,1/1/2021,,,,,6100-6299 5400-5499,Multiple,FALSE,FALSE,,,,,,POINT (-122.12895 37.829735),1260751-09-201-1117752-6100-6299 5400-5499-07-01-2020,,,,,
1126275-11-161,1060655,Ritual By Design,Ritual By Design,223 Guerrero St,San Francisco,CA,94103,11/2/2016,,11/2/2016,,2769 Bryant St,San Francisco,94110,CA,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,8,Mission,,POINT (-122.424286 37.76754),1126275-11-161-1060655-7100-7199-11-02-2016,37,3,5,20,37
1192683-06-181,338353,Coll Thomas G,Coll Construction,22231 Broadway,Sonoma,CA,95476,10/14/2011,8/27/2018,6/21/2018,8/27/2018,,,,,2300-2399,Construction,FALSE,FALSE,,,,,,POINT (-122.45195 38.2526),1192683-06-181-0338353-2300-2399-06-21-2018,,,,,
1267148-01-211,1120355,The Madison Firm Inc,The Madison Firm Inc,345 California St Ste 600,San Francisco,CA,94104,1/1/2021,,1/1/2021,,345 California St 600 Ste,San Francisco,94104,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40049 37.793114),1267148-01-211-1120355-5400-5499-01-01-2021,108,6,3,8,108
1135299-02-171,1065034,Lynn M. Fishburne,Breakout Management Llc,1 Letterman Dr Bldg C  Ste 400,San Francisco,CA,94129,6/21/2016,,6/21/2016,,326 Infantry Ter Unit B,San Francisco,94129,CA,5210-5239,Financial Services,FALSE,FALSE,,,2,Presidio,,POINT (-122.44963 37.797962),1135299-02-171-1065034-5210-5239-06-21-2016,3,,6,27,3
0166080-03-001,166080,Freedman Michael S,Freedman Tung & Bottomley,625 2nd St Ste 280,San+francisco,CA,94107,9/15/1989,6/30/2021,4/2/2012,6/30/2021,***Administratively Closed,,,,,,FALSE,FALSE,,,6,Financial District/South Beach,,POINT (-122.39106 37.781696),0166080-03-001-0166080--04-02-2012,31,1,10,8,31
0360989-08-001,360989,Rosetta Stone Ltd,Rosetta Stone Ltd,660 Market St 5th Fl,San+francisco,CA,94105,8/16/2002,9/1/2015,4/30/2013,9/1/2015,,,,,,,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40298 37.788483),0360989-08-001-0360989--04-30-2013,19,6,3,8,19
1231973-08-191,1105867,Loft Architecture Design,Loft A+d,739 Bryant St Ste 207,San Francisco,CA,94107,8/23/2019,,8/23/2019,,739 Bryant St,San Francisco,94107,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,6,South of Market,,POINT (-122.40111 37.777122),1231973-08-191-1105867-5400-5499-08-23-2019,32,1,10,34,32
1266392-01-211,1120029,Ichiraku Llc,Ichiraku Ramen,5336 Geary Blvd,San Francisco,CA,94121,1/1/2021,,1/1/2021,,5336 Geary Blvd,San Francisco,94121,CA,7220-7229,Food Services,FALSE,FALSE,,,1,Outer Richmond,,POINT (-122.476585 37.78056),1266392-01-211-1120029-7220-7229-01-01-2021,5,8,4,29,5
1228517-07-191,1104474,Ofir Uziel,Ofir Uziel,3328 25th Street,San Francisco,CA,94110,1/5/2018,1/1/2021,1/5/2018,1/1/2021,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,9,Mission,,POINT (-122.41685 37.750755),1228517-07-191-1104474-7100-7199-01-05-2018,53,3,2,20,53
1135851-02-171,1065297,Sophie Silverstein,Slate & Stone Jewelry,1258 Valencia St,San Francisco,CA,94110,2/1/2017,,2/1/2017,7/3/2019,919 Virginia St,Berkeley,94710,CA,3100-3399,Manufacturing,FALSE,FALSE,,,8,Mission,,POINT (-122.42076 37.75277),1135851-02-171-1065297-3100-3399-02-01-2017,53,3,5,20,53
1185832-04-181,1086689,Sarran Scott,Sarran & Company,61 Stillings Ave,San Francisco,CA,94131,4/18/2018,,4/18/2018,,61 Stillings Ave,San Francisco,94131,CA,5210-5239,Financial Services,FALSE,FALSE,,,8,West of Twin Peaks,,POINT (-122.44159 37.734383),1185832-04-181-1086689-5210-5239-04-18-2018,95,9,5,41,95
0477546-01-001,477546,Queen Of Clubs Llc,Barrow,256 Sutter St Fl 4,San Francisco,CA,94108,3/1/2013,,3/1/2013,3/17/2020,610 22nd St Ste 303,San Francisco,94107,CA,8100-8139,Certain Services,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.4048 37.789734),0477546-01-001-0477546-8100-8139-03-01-2013,19,6,3,8,19
1026621-04-151,1012851,Huynh Le,Esteem Haircuts,3746 Geary Blvd,San Francisco,CA,94118,4/23/2015,8/31/2020,4/23/2015,8/31/2020,,,,,,,FALSE,FALSE,,,1,Inner Richmond,,POINT (-122.45941 37.781338),1026621-04-151-1012851--04-23-2015,5,8,4,11,5
1015375-01-151,1007409,Howard Tu,Howard Tu,1280 Union St #5,San Francisco,CA,94109,1/2/2015,12/30/2020,1/2/2015,12/30/2020,,,,,5400-5499 7100-7199,Multiple,FALSE,FALSE,,,2,Russian Hill,,POINT (-122.42024 37.799076),1015375-01-151-1007409-5400-5499 7100-7199-01-02-2015,107,6,6,32,107
1127495-11-161,1060868,Tetrachrome Design Llc,Tetrachrome Design Llc,330 Mission Bay Blvd 202,San Francisco,CA,94158,10/24/2016,6/27/2020,10/24/2016,6/27/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,6,Mission Bay,,POINT (-122.38699 37.77129),1127495-11-161-1060868-5400-5499-10-24-2016,34,1,10,4,34
1006860-09-141,1003642,Palma Alfred,X-Press Prints,4537 Mission St,San Francisco,CA,94112,9/9/2014,,9/9/2014,,4537 Mission St,San Francisco,94112,CA,4400-4599,Retail Trade,FALSE,FALSE,,,11,Excelsior,,POINT (-122.43407 37.7256),1006860-09-141-1003642-4400-4599-09-09-2014,90,9,1,7,90
0483260-02-001,483260,Banano Lolito,Likiesha Inhome Cleaning Svcs,272 Clara St,San Francisco,CA,94107,4/25/2014,3/19/2018,4/25/2014,1/23/2015,,,,,,,FALSE,FALSE,,,6,South of Market,,POINT (-122.404 37.778214),0483260-02-001-0483260--04-25-2014,32,1,10,34,32
1161302-09-171,1076203,Prodontis Inc,Prodontis Inc,169 11th St,San Francisco,CA,94103,7/31/2017,12/31/2020,7/31/2017,1/23/2019,,,,,3100-3399,Manufacturing,FALSE,FALSE,,,6,South of Market,,POINT (-122.416 37.773487),1161302-09-171-1076203-3100-3399-07-31-2017,32,1,10,34,32
1155470-07-171,945971,Hemphill Robert J,Neverland,241 Columbus Ave,San Francisco,CA,94133,10/10/1995,,7/24/2017,7/15/2020,Po Box 471114,San Francisco,94147,CA,4400-4599,Retail Trade,FALSE,FALSE,,,3,Chinatown,,POINT (-122.406 37.797363),1155470-07-171-0945971-4400-4599-07-24-2017,104,6,3,6,104
1175191-01-181,449922,Czechowska Carolina,Body Bottega,367 Corbett Ave,San Francisco,CA,94114,7/14/2010,12/1/2020,7/14/2010,12/1/2020,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,8,Castro/Upper Market,,POINT (-122.44588 37.75939),1175191-01-181-0449922-7100-7199-07-14-2010,115,7,5,5,115
1185729-04-181,1086642,Fernanda Brandao-Galea,F2global,861 Greenwich St,San Francisco,CA,94133,1/1/2018,1/1/2020,1/1/2018,1/1/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Russian Hill,,POINT (-122.4139 37.801735),1185729-04-181-1086642-5400-5499-01-01-2018,107,6,3,32,107
1202718-10-181,1093745,Vannie Shu,V&r Friends,128 Faith St,San Francisco,CA,94110,10/11/2018,1/1/2021,10/11/2018,1/1/2021,,,,,7210-7219,Accommodations,FALSE,FALSE,,,9,Bernal Heights,,POINT (-122.40648 37.74424),1202718-10-181-1093745-7210-7219-10-11-2018,60,9,2,2,60
1092613-08-161,1044105,Nicole Surette,Nicole Surette,739 36th Ave 303,San Francisco,CA,94121,8/23/2016,,8/23/2016,10/27/2016,3020 Center St 6 Apt,Soquel,95073,CA,,,FALSE,FALSE,,,1,Outer Richmond,,POINT (-122.49624 37.775017),1092613-08-161-1044105--08-23-2016,8,8,4,29,8
0363078-02-999,363078,Nguyen Jennifer & Nguyen Peno,Vip Transport,3852 Carter Dr,S+san+fran,CA,94080,1/1/2008,9/1/2016,1/1/2008,9/1/2016,,,,,,,FALSE,FALSE,,,,,,POINT (-122.46911 37.64857),0363078-02-999-0363078--01-01-2008,,,,,
1026696-04-151,415140,Philz Coffee Inc,Phil'z Coffee,1775 17th St,San Francisco,CA,94103,4/1/2007,,4/23/2015,,1258 Minnesota St,San Francisco,94107,CA,4400-4599,Retail Trade,FALSE,FALSE,H25 Pos01 Posloc Wm18 Wmloc,Multiple,10,Potrero Hill,,POINT (-122.4013 37.76483),1026696-04-151-0415140-4400-4599-04-23-2015,54,1,9,26,54
1219614-04-191,448298,Computer Design Solutions,Zmsh Enterprises,44 Mclea Ct,San Francisco,CA,94103,4/12/2010,3/31/2020,4/12/2010,3/31/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,6,South of Market,,POINT (-122.40868 37.772087),1219614-04-191-0448298-5400-5499-04-12-2010,32,1,10,34,32
0385826-01-001,385826,Li Warren H,1251-53 20th Avenue,1251 20th Ave #53,San Francisco,CA,94122,3/1/2005,,3/1/2005,,0000 Undeliverable Mail,San Francisco,99999,CA,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,4,Sunset/Parkside,,POINT (-122.478294 37.76444),0385826-01-001-0385826-5300-5399-03-01-2005,39,10,7,35,39
1016781-01-151,483260,Banano Lolito,Sweety Home Cleaning Services,272 Clara St,San Francisco,CA,94107,4/25/2014,3/19/2018,4/25/2014,2/15/2015,,,,,,,FALSE,FALSE,,,6,South of Market,,POINT (-122.404 37.778214),1016781-01-151-0483260--04-25-2014,32,1,10,34,32
0303754-06-002,303754,Gawfco Enterprises Inc,Potrero 76,401 Potrero Ave,San Francisco,CA,94110,6/29/2006,,8/23/2013,,3669 Mount Diablo Blvd,Lafayette,94549,CA,4400-4599,Retail Trade,FALSE,FALSE,D08 D13 D19 H03 H07 H31 Pos01 Posloc Wm08 Wmloc,Multiple,10,Potrero Hill,,POINT (-122.40738 37.7644),0303754-06-002-0303754-4400-4599-08-23-2013,54,3,9,20,54
1233816-09-191,1106619,Dispatch Goods Inc,Dispatch Goods Inc,4045 Cabrillo St,San Francisco,CA,94121,9/13/2019,,9/13/2019,,1287 42nd Ave,San Francisco,94122,CA,,,FALSE,FALSE,,,1,Outer Richmond,,POINT (-122.50195 37.7736),1233816-09-191-1106619--09-13-2019,8,8,4,29,8
0405910-01-001,405910,Ancheta Daniel R,Ancheta Daniel R,197 Goethe St,San Francisco,CA,94112,1/1/2007,1/1/2018,1/1/2007,1/1/2018,,,,,,,FALSE,FALSE,,,11,Outer Mission,,POINT (-122.460526 37.709568),0405910-01-001-0405910--01-01-2007,66,10,1,28,66
1049504-01-161,1023255,Martin Tobey,Baker Abode,835 Baker St,San Francisco,CA,94115,11/1/2015,10/1/2019,11/1/2015,10/1/2019,,,,,7210-7219,Accommodations,FALSE,FALSE,,,5,Lone Mountain/USF,,POINT (-122.44197 37.77865),1049504-01-161-1023255-7210-7219-11-01-2015,97,7,11,18,97
0430077-01-001,430077,Charles K Lee Md Inc,Charles K Lee Md Inc,2250 Hayes St Ste 508,San Francisco,CA,94117,6/24/2008,,6/24/2008,8/14/2020,1545 Pine St 101 Apt,San Francisco,94109,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,1,Lone Mountain/USF,,POINT (-122.453476 37.773026),0430077-01-001-0430077-5400-5499-06-24-2008,12,7,4,18,12
0470633-01-001,470633,Hamadaya Inc,Roku,1819 Market St,San Francisco,CA,94103,7/20/2012,12/25/2020,7/20/2012,2/21/2017,,,,,7220-7229,Food Services,FALSE,FALSE,,,8,Mission,,POINT (-122.42373 37.771526),0470633-01-001-0470633-7220-7229-07-20-2012,27,1,5,20,27
1175277-01-181,1081941,Tess Labbe,Today's Environmentally Sustainable Solutions,222 Bright St,San Francisco,CA,94132,1/11/2018,,1/11/2018,1/25/2021,2571 Quincy Junction Rd,Quincy,95971,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,11,Oceanview/Merced/Ingleside,,POINT (-122.46347 37.714764),1175277-01-181-1081941-5400-5499-01-11-2018,65,10,1,24,65
1134391-01-171,1064595,Monmo Treats Llc,Monmo Treats Llc,55 Chumasero Dr Apt 6e,San Francisco,CA,94132,1/17/2017,12/29/2020,1/17/2017,12/29/2020,,,,,3100-3399,Manufacturing,FALSE,FALSE,,,7,Lakeshore,,POINT (-122.473076 37.713528),1134391-01-171-1064595-3100-3399-01-17-2017,42,10,8,16,42
1021568-03-151,446283,Strategic Staffing Solutions,Strategic Staffing Solutions,225 Bush St 1860,San Francisco,CA,94104,11/3/2008,,12/1/2013,,3011 W Grand Blvd 2100 Ste,Detroit,48202,MI,5600-5699,Administrative and Support Services,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.40124 37.79109),1021568-03-151-0446283-5600-5699-12-01-2013,108,6,3,8,108
1038961-09-151,483260,Banano Lolito,Sweety Home Cleaning Services,388 Market St 1300,San Francisco,CA,94111,4/25/2014,3/19/2018,3/15/2015,3/19/2018,,,,,,,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.39818 37.79188),1038961-09-151-0483260--03-15-2015,108,6,3,8,108
1150314-06-171,1071847,Schmetterer Famly Trust Dated 3/31/16/curtis & Debi Cournale,1231 Geneva Ave (C),4630 Geary Blvd Ste 200,San Francisco,CA,94118,1/1/2014,,1/1/2014,12/31/2020,4630 Geary Blvd Ste 200,San Francisco,94118,CA,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,1,Inner Richmond,,POINT (-122.468925 37.780903),1150314-06-171-1071847-5300-5399-01-01-2014,5,8,4,11,5
1187898-05-181,1059179,Elena Sazonova,Alena Saz,2518 42nd Ave,San Francisco,CA,94116,9/26/2016,1/1/2020,3/1/2018,1/1/2020,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,4,Sunset/Parkside,,POINT (-122.50014 37.7397),1187898-05-181-1059179-5400-5499-03-01-2018,39,10,7,35,39
1190405-05-181,481922,A100 Us Llc,A100 Us Llc,201 Spear St,San Francisco,CA,94105,7/23/2010,12/31/2020,1/1/2018,12/31/2020,,,,,5600-5699,Administrative and Support Services,FALSE,FALSE,,,6,Financial District/South Beach,,POINT (-122.39242 37.791267),1190405-05-181-0481922-5600-5699-01-01-2018,108,1,10,8,108
1290622-11-211,363181,Aa Products International Inc,Aa Products International Inc.,450 2nd Ave,San+francisco,CA,94118,1/29/2003,,11/1/2021,,450 2nd Ave,San Francisco,94118,CA,4200-4299,Wholesale Trade,FALSE,FALSE,,,1,Inner Richmond,,POINT (-122.45967 37.780197),1290622-11-211-0363181-4200-4299-11-01-2021,5,8,4,11,5
1287980-09-211,1128368,Aytravel Inc,The Agency,620 Darien Way,San Francisco,CA,94127,3/25/2010,,3/25/2010,,620 Darien Way,San Francisco,94127,CA,4800-4999,Transportation and Warehousing,FALSE,FALSE,,,7,West of Twin Peaks,,POINT (-122.464836 37.73156),1287980-09-211-1128368-4800-4999-03-25-2010,63,10,8,41,63
0380607-01-001,380607,Arndt Eric D,The Arndt Group,335 Powell St.14th Fl.,San+francisco,CA,94102,9/1/2004,6/30/2016,9/1/2004,6/30/2016,,,,,,,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.40879 37.787758),0380607-01-001-0380607--09-01-2004,19,6,3,36,19
1136967-02-171,441034,Thomas Quinn And Krieger Llp,"Thomas Quinn, Llp",110 W C St 1707,San+diego,CA,92101,8/1/2009,,1/15/2014,9/1/2018,219 9th St 2nd Fl.,San Francisco,94103,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,,,,POINT (-117.16412 32.71705),1136967-02-171-0441034-5400-5499-01-15-2014,,,,,
1170538-12-171,30032,Walgreen Co,Walgreens #05618,100 Sansome St,San Francisco,CA,94104,10/1/1968,,12/14/2017,11/6/2019,300 Wilmot Rd # Stop,Deerfield,60015,IL,4400-4599,Retail Trade,FALSE,FALSE,H05 Pos01 Posloc,Multiple,3,Financial District/South Beach,,POINT (-122.40073 37.79127),1170538-12-171-0030032-4400-4599-12-14-2017,108,6,3,8,108
0397664-07-001,397664,Vendini Inc,Walletini,660 Market St Fl 4,San Francisco,CA,94104,1/8/2002,12/20/2019,1/1/2012,12/20/2019,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.402855 37.788193),0397664-07-001-0397664-5400-5499-01-01-2012,19,6,3,8,19
0477528-02-001,477528,Durdyev Eziz,Hq Supplies,505 Montgomery St Fl 10,San Francisco,CA,94111,3/15/2013,12/31/2020,9/24/2013,12/31/2020,,,,,4400-4599,Retail Trade,FALSE,FALSE,,,3,Chinatown,,POINT (-122.403015 37.793884),0477528-02-001-0477528-4400-4599-09-24-2013,104,6,3,6,104
0404923-01-999,404923,Rondou Dan L,Heatsource,1148 18th St Apt 16,Oakland,CA,94606,1/2/2007,1/30/2020,1/2/2007,1/30/2020,,,,,2300-2399,Construction,FALSE,FALSE,,,,,,POINT (-122.24425 37.7937),0404923-01-999-0404923-2300-2399-01-02-2007,,,,,
